run,timestamp,ml_threshold,stoploss,ml_exit_threshold,atr_threshold,trades,win_rate,sharpe,max_drawdown,profit_factor,total_profit,pass,error
29,2026-05-05 08:47 UTC,0.7,-0.08,0.7,0.002,420,0.45714285714285713,-1.3648609149611302,0.05144242724999992,0.8612863562296751,,False,
30,2026-05-05 08:48 UTC,0.7,-0.08,0.7,0.003,350,0.44571428571428573,-1.1294891338556126,0.048060438610000006,0.8644911306830902,,False,
31,2026-05-05 08:49 UTC,0.5,-0.1,0.6,0.002,1714,0.45274212368728123,-7.098446312400983,0.18235823485022343,0.8254864611940861,,False,
32,2026-05-05 08:49 UTC,0.5,-0.1,0.6,0.003,1427,0.4428871758934828,-5.791941606715679,0.16107320989911217,0.8319242858279086,,False,
33,2026-05-05 08:50 UTC,0.5,-0.1,0.65,0.002,1708,0.45140515222482436,-7.489183658806664,0.18830191553811187,0.8169093244754214,,False,
34,2026-05-05 08:50 UTC,0.5,-0.1,0.65,0.003,1422,0.4409282700421941,-6.113318367589084,0.16627191697790009,0.8235033714932848,,False,
35,2026-05-05 08:51 UTC,0.5,-0.1,0.7,0.002,1708,0.452576112412178,-7.345790721171953,0.18576656845958364,0.8207138790653439,,False,
36,2026-05-05 08:52 UTC,0.5,-0.1,0.7,0.003,1422,0.44163150492264414,-6.048592603029304,0.16527386268533795,0.8257886383541628,,False,
37,2026-05-05 08:52 UTC,0.55,-0.1,0.6,0.002,1278,0.45774647887323944,-4.963627411555305,0.1256474377441184,0.8349053053825524,,False,
38,2026-05-05 08:53 UTC,0.55,-0.1,0.6,0.003,1069,0.4536950420954163,-3.783660681198547,0.10523509648011041,0.8510450743427094,,False,
39,2026-05-05 08:53 UTC,0.55,-0.1,0.65,0.002,1273,0.4540455616653574,-5.36659975407535,0.1289235059215195,0.8224679925275808,,False,
40,2026-05-05 08:54 UTC,0.55,-0.1,0.65,0.003,1065,0.4497652582159624,-4.118946500025633,0.10808965703800942,0.8386650057558552,,False,
41,2026-05-05 08:54 UTC,0.55,-0.1,0.7,0.002,1273,0.4548311076197958,-5.402315337414013,0.1301997212624732,0.8220537538435763,,False,
42,2026-05-05 08:55 UTC,0.55,-0.1,0.7,0.003,1065,0.4497652582159624,-4.220363795878676,0.1109244072370132,0.8356053373322024,,False,
43,2026-05-05 08:55 UTC,0.6,-0.1,0.6,0.002,930,0.44623655913978494,-4.247353446753565,0.1062617890060362,0.8098612614139298,,False,
44,2026-05-05 08:56 UTC,0.6,-0.1,0.6,0.003,794,0.4420654911838791,-3.4163432931523965,0.09194873701000006,0.8228862744611601,,False,
45,2026-05-05 08:56 UTC,0.6,-0.1,0.65,0.002,930,0.44516129032258067,-4.623517999147349,0.10739200136042935,0.7950713635700839,,False,
46,2026-05-05 08:57 UTC,0.6,-0.1,0.65,0.003,794,0.43954659949622166,-3.753677785021621,0.09253096623000011,0.8073258411829158,,False,
47,2026-05-05 08:57 UTC,0.6,-0.1,0.7,0.002,930,0.443010752688172,-4.855038487750998,0.11292183633801649,0.7864848807876111,,False,
48,2026-05-05 08:58 UTC,0.6,-0.1,0.7,0.003,794,0.43702770780856426,-3.9715783511626577,0.09806394438000007,0.7978832866244007,,False,
49,2026-05-05 08:58 UTC,0.65,-0.1,0.6,0.002,876,0.4531963470319635,-3.312452527890633,0.08334309396120074,0.8396942761991866,,False,
50,2026-05-05 08:59 UTC,0.65,-0.1,0.6,0.003,745,0.45100671140939597,-2.5402878778036286,0.07335223309475138,0.8567205604231807,,False,
51,2026-05-05 08:59 UTC,0.65,-0.1,0.65,0.002,648,0.42901234567901236,-3.7849151651928787,0.08811077537883821,0.7639016605521198,,False,
52,2026-05-05 09:00 UTC,0.65,-0.1,0.65,0.003,548,0.4233576642335766,-3.0694097219655494,0.07579640059000008,0.775967292822276,,False,
53,2026-05-05 09:00 UTC,0.65,-0.1,0.7,0.002,456,0.44298245614035087,-2.4256860535336693,0.061637483369999926,0.7806488680142726,,False,
54,2026-05-05 09:01 UTC,0.65,-0.1,0.7,0.003,381,0.42782152230971127,-2.1371600636397377,0.05823224054000002,0.7739693200367852,,False,
55,2026-05-05 09:01 UTC,0.7,-0.1,0.6,0.002,420,0.4595238095238095,-1.2991225306991114,0.049490266659999976,0.866586482341257,,False,
56,2026-05-05 09:01 UTC,0.7,-0.1,0.6,0.003,350,0.44571428571428573,-1.1154593232958794,0.047311696009999994,0.8652217087727855,,False,
57,2026-05-05 09:02 UTC,0.7,-0.1,0.65,0.002,420,0.45476190476190476,-1.3749421864758093,0.05142699699000002,0.8600824427612086,,False,
58,2026-05-05 09:02 UTC,0.7,-0.1,0.65,0.003,350,0.44285714285714284,-1.1386741540187244,0.04804500834999999,0.8631801998673027,,False,
59,2026-05-05 09:03 UTC,0.7,-0.1,0.7,0.002,420,0.45714285714285713,-1.3648609149611302,0.05144242724999992,0.8612863562296751,,False,
60,2026-05-05 09:03 UTC,0.7,-0.1,0.7,0.003,350,0.44571428571428573,-1.1294891338556126,0.048060438610000006,0.8644911306830902,,False,
61,2026-05-05 09:04 UTC,0.5,-0.12,0.6,0.002,1714,0.45274212368728123,-7.098446312400983,0.18235823485022343,0.8254864611940861,,False,
62,2026-05-05 09:04 UTC,0.5,-0.12,0.6,0.003,1427,0.4428871758934828,-5.791941606715679,0.16107320989911217,0.8319242858279086,,False,
63,2026-05-05 09:05 UTC,0.5,-0.12,0.65,0.002,1708,0.45140515222482436,-7.489183658806664,0.18830191553811187,0.8169093244754214,,False,
64,2026-05-05 09:06 UTC,0.5,-0.12,0.65,0.003,1422,0.4409282700421941,-6.113318367589084,0.16627191697790009,0.8235033714932848,,False,
65,2026-05-05 09:06 UTC,0.5,-0.12,0.7,0.002,1708,0.452576112412178,-7.345790721171953,0.18576656845958364,0.8207138790653439,,False,
66,2026-05-05 09:07 UTC,0.5,-0.12,0.7,0.003,1422,0.44163150492264414,-6.048592603029304,0.16527386268533795,0.8257886383541628,,False,
67,2026-05-05 09:07 UTC,0.55,-0.12,0.6,0.002,1278,0.45774647887323944,-4.963627411555305,0.1256474377441184,0.8349053053825524,,False,
68,2026-05-05 09:08 UTC,0.55,-0.12,0.6,0.003,1069,0.4536950420954163,-3.783660681198547,0.10523509648011041,0.8510450743427094,,False,
69,2026-05-05 09:09 UTC,0.55,-0.12,0.65,0.002,1273,0.4540455616653574,-5.36659975407535,0.1289235059215195,0.8224679925275808,,False,
70,2026-05-05 09:09 UTC,0.55,-0.12,0.65,0.003,1065,0.4497652582159624,-4.118946500025633,0.10808965703800942,0.8386650057558552,,False,
71,2026-05-05 09:10 UTC,0.55,-0.12,0.7,0.002,1273,0.4548311076197958,-5.402315337414013,0.1301997212624732,0.8220537538435763,,False,
72,2026-05-05 09:10 UTC,0.55,-0.12,0.7,0.003,1065,0.4497652582159624,-4.220363795878676,0.1109244072370132,0.8356053373322024,,False,
